NAME,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,SnSv_pred_linear,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,regime_FNR,regime_HOP,regime_LER,regime_REG
上海,13560.0,5461.0,121.0,121.0,31.0,-19.77854169890139,34.51076342043444,0.1768877376618634,0.0195306859381344,-3.935768412430015,3.1954745145805545e-07,-14.95636005629092,0.0657696951648446,0.0216870957541622,0.0200263124396511,-2.721596106545901,-3.8310378610263136,-3.9107082481178868,1.0,1.0,0.7665767262549703,0.6634682093319808,0.1420127639875175,2,2,2,2
云南,12657.333333333334,4558.333333333333,101.0,101.0,25.666666666666668,7.794135578717891,12.03141009289631,1.465818434799846,0.16674146592568861,-1.987392103636741,0.0018686824630215493,-7.778773659839122,0.6203958320316493,0.4682612027183503,0.3046549383962031,-0.6574881221314832,-0.9591225603023332,-1.293986914629072,1.0,1.0,1.6605418943048547,1.345010242147868,1.6737097009903312,4,4,4,4
内蒙古,13257.21875,5158.21875,114.125,114.125,44.1875,3.5785925808766255,9.222015503219945,1.2032152088300874,0.29113942236779083,-1.8972784460441126,0.00025084766620396803,-9.846982028291038,0.2305165533057155,0.1831230441988902,0.11780525520983698,-1.8163544709406703,-2.133744463867044,-2.485656570849702,1.0,1.0,1.1586368786355958,1.3765319995737695,1.2323540351626923,3,4,4,4
台湾,13556.0,5457.0,121.0,121.0,23.0,11.74341342362172,24.127613415651822,1.2367208878605314,0.0958235259481201,-2.345247050582385,0.0001152620799064,-9.06830206677413,0.3772459256039998,0.2826801924499388,0.2284111451274974,-0.9748579816469757,-1.263439082354781,-1.476608005860595,1.0,1.0,1.5230890081486947,1.2198325817062816,1.3985243389504005,4,4,4,4
吉林,13821.333333333334,5722.333333333333,126.66666666666667,126.66666666666667,43.666666666666664,3.121383687028264,13.162537810004652,1.0395602499548866,0.14067783600604775,-2.140365840440237,7.448191835603557e-05,-10.780780579189367,0.15758161247403898,0.11502739491097165,0.08707869875622237,-2.021695167237809,-2.389512740089554,-2.6380801109343466,1.0,1.0,1.0697038230693048,1.291500029014005,1.0330814244009892,3,4,3,3
四川,12731.9,4632.9,102.6,102.6,30.8,2.346143619029132,13.908499996694058,1.194955157759043,0.10634293287614031,-2.6106980441204697,0.0015829760816100634,-8.967293770836482,0.3959673150164791,0.28459561914961085,0.1574935017297829,-1.2238337421588386,-1.6897703817264411,-2.1222173870221086,1.0,1.0,1.4152576062710072,1.1269778241666597,1.4200795093034946,4,3,4,3
天津,13384.0,5285.0,117.0,117.0,39.0,-17.493708199541842,19.599234306608814,-0.14257100179893278,0.0113863581553289,-4.4753392931839695,5.6873686733139345e-08,-16.682433050348227,0.0433695505774198,0.0131842557177022,0.0122106551474697,-3.137997683710578,-4.328731909939545,-4.405446335667564,1.0,1.0,0.5862332031849489,0.4747263152442476,-0.22633121294431158,2,2,1,1
安徽,13380.5,5281.5,117.0,117.0,32.0,0.0871463191748515,24.531051418861985,0.7561352506724118,0.06335931633627075,-2.7998889645364526,7.0608818740851324e-06,-12.080689692720803,0.12335675366485532,0.07264207489124976,0.05573019137486157,-2.1066191683248663,-2.650993525776151,-2.9099914688957393,1.0,1.0,1.0329232381985005,1.060798840205149,0.7556808195733806,3,3,2,2
山东,13418.6,5319.6,117.8,117.8,36.2,-8.54308473444279,22.881934578794468,0.38466459907833067,0.0321043489307465,-3.5587957579210916,1.2920016108960071e-06,-13.8747552920539,0.06411934365985916,0.03223680037647584,0.02592786959726724,-2.754056142935489,-3.466400076009468,-3.6713635923602594,1.0,1.0,0.7525182844946399,0.7953332438792022,0.37282722067569773,2,2,2,2
山西,13158.0,5059.0,112.0,112.0,37.0,-4.617190824077011,16.78437183829585,0.4841751211892896,0.025669410622162978,-3.7100482243882897,3.234880243907691e-06,-12.89650904587454,0.07309945762938708,0.039279699298682504,0.03204763270220143,-2.6292580760179725,-3.269495392098543,-3.4647047216740727,1.0,1.0,0.8065683272766162,0.7424251311089762,0.5815849696103732,3,2,2,2
广东,13226.333333333334,5127.333333333333,113.66666666666667,113.66666666666667,23.666666666666668,-1.2036822128721822,30.798932351542742,0.8000364004259212,0.05784856732570853,-3.1672250518140044,3.080720895468835e-05,-11.284960583161748,0.2370452428794969,0.1409549135008564,0.10920929114814937,-1.5028590609238062,-2.120136198900805,-2.3408597763484758,1.0,1.0,1.2944117407138997,0.9323046768754613,0.9254894115532828,4,3,3,3
