placename,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,SnSv_pred_linear,regime_FNR,regime_HOP,regime_LER,regime_REG
Afghanistan,11115.88235,3016.882353,66.64705882,66.64705882,34.52941176,7.154556722,8.201964405,0.220872183,-1.591805367,0.00231386,-6.90646133,0.525832395,0.422844747,0.246436269,-0.761187701,-0.977406373,-1.460225269,1,1,0.865629607,0.733386483,1.109861152,0.894044434,3,2,3,3
Algeria,8234.692308,4808.769231,106.5384615,2.692307692,28.07692308,9.214199149,6.975611339,1.490213741,0.213176498,0.007994601,-6.052733757,2.848989146,2.437016072,0.597947096,0.705724058,0.547054753,-0.661661017,1,1,1.500949089,1.364769139,1.292046616,1.339719823,4,4,4,4
Angola,8879.8,780.8,17.48,17.48,-12.6,12.25314086,10.66617262,0.262186215,-1.543326254,0.007359696,-5.041386681,1.977077005,1.617962589,1.129742165,0.628112745,0.42721198,0.078834717,1,1,1.46733563,0.750344476,1.507868082,1.159591404,4,2,4,3
Argentina,5150.542857,13251.54286,294.8571429,-65.14285714,-35.05714286,11.82370655,8.570749318,1.2866528,0.058830182,0.00839683,-5.279497212,1.889441603,1.516144323,0.992206396,0.388250214,0.14951137,-0.201913953,1,1,1.363451168,1.310778798,1.457055295,1.406573813,4,4,4,4
Armenia,10145,2046,45,45,41,7.38994858,9.463542733,0.200719741,-1.605845667,0.000428284,-7.755723391,0.357180074,0.279067988,0.207702845,-1.029515214,-1.276299844,-1.571646849,1,1,0.749416961,0.728475186,0.928628628,0.800886058,2,2,3,3
Australia,14147.37288,6048.372881,134.6836158,134.6836158,-25.77966102,12.3679144,7.93061998,1.714477011,0.337588898,0.032382103,-4.309591374,3.324561175,2.746935273,1.46662407,0.931928229,0.730940372,0.236592134,1,1,1.598918116,1.408288596,1.664033201,1.586038838,4,4,4,4
Austria,8730.75,631.75,13.5,13.5,47.5,5.804586152,10.77633612,0.151162912,-1.898213619,0.000121588,-9.179644364,0.203217724,0.15724632,0.123335869,-1.623763526,-1.880979012,-2.124645121,1,1,0.492048017,0.626204876,0.624763893,0.541341526,2,2,2,2
Azerbaijan,10342.6,2243.6,49.4,49.4,40.2,8.880570788,9.226823183,0.68055672,-0.718502911,0.001055318,-7.503388621,1.027033138,0.846301084,0.324910202,-0.225440679,-0.438696538,-1.168531043,1,1,1.097661642,1.038867682,0.982476868,0.980081057,3,3,3,3
Bangladesh,12161.5,4062.5,90,90,24,7.690039693,17.53416366,0.100370294,-2.341677739,0.000121486,-9.263420077,0.402518851,0.29201071,0.214778466,-0.938417266,-1.26554741,-1.572385764,1,1,0.788871482,0.471081127,0.606886156,0.462411942,2,2,2,2
Belarus,9386.333333,1287.333333,28,28,53.66666667,8.343351551,9.061272022,0.50175725,-0.720506112,0.00042414,-7.87207318,0.400692632,0.316891255,0.201979025,-0.933889982,-1.17159732,-1.609334263,1,1,0.790832249,1.038166962,0.903799583,0.922878804,2,3,3,3
Belgium,8305,206,4,4,51,-1.075623458,12.15132074,0.052523051,-2.99567909,3.58E-06,-12.54849036,0.080315541,0.05277479,0.044311375,-2.526686589,-2.961802931,-3.130859898,1,1,0.100992038,0.242311454,-0.094147842,-0.091448218,2,2,1,1
Belize,4103,12204,271,-89,17,9.135157434,9.693691272,0.270104013,-1.308948159,0.000929355,-6.981020132,0.709099539,0.575809797,0.491831058,-0.343759369,-0.551977886,-0.709619999,1,1,1.046417817,0.832329934,1.093950304,0.942381718,3,3,3,3
Benin,8195,96,2,2,11,13.8185402,12.24205384,0.578025322,-0.548877017,0.001660204,-6.51142566,1.051124591,0.878544223,0.593945453,0.043893439,-0.135076948,-0.529142925,1,1,1.214310249,1.09820282,1.194161764,1.14056874,4,3,3,3
Bhutan,12163,4064,90,90,27,9.544515068,12.2612275,0.170183728,-1.822307125,0.000781367,-7.373387201,0.744830725,0.576527066,0.362984157,-0.346173936,-0.604700825,-1.054066837,1,1,1.045372068,0.652756968,1.010219171,0.800951779,3,2,3,3
Bolivia,5185,13286,295.4166667,-64.58333333,-16.5,14.55417479,9.066596012,1.30125774,0.028974276,0.025763929,-3.812730197,5.930623104,4.797846594,2.876645718,1.578460718,1.356627193,0.840564187,1,1,1.878931337,1.300335202,1.770063376,1.604068085,4,4,4,4
Bosnia & Herzegovina,8887,788,17,17,45,6.987832698,10.73516688,0.199448725,-1.612198093,0.000159814,-8.741497526,0.253750316,0.203019124,0.149298757,-1.371404502,-1.5944551,-1.901805901,1,1,0.60134471,0.726253107,0.718264428,0.650929117,2,2,2,2
Botswana,9149.214286,1050.214286,23.57142857,23.57142857,-22,11.98968507,9.018087663,0.566263825,-0.665449847,0.011027583,-4.772291743,2.450042613,2.017432495,1.291792951,0.807129678,0.608764128,0.1888135,1,1,1.544867863,1.057425643,1.565292942,1.350152621,4,3,4,4
Brazil,5704.5625,13805.5625,306.8977273,-53.10227273,-10.67045455,14.48123527,10.14077045,1.604564063,0.051736808,0.022316304,-4.589741626,4.459613741,3.642532534,2.425496257,1.184600528,0.970425348,0.624731299,1,1,1.708350489,1.308297535,1.604249137,1.505033917,4,4,4,4
Brunei,13277,5178,115,115,5,17.01341141,10.7854465,1.309160256,0.269385906,0.013227065,-4.325490156,3.40579086,2.819796956,1.958205368,1.225477177,1.036664881,0.672028425,1,1,1.726054165,1.38443119,1.660640401,1.577441547,4,4,4,4
Bulgaria,9246,1147,25,25,43,5.777624854,10.42289823,0.178225505,-1.726306308,8.80E-05,-9.339768534,0.2301539,0.186273657,0.139683965,-1.4692844,-1.680777852,-1.969029249,1,1,0.558952926,0.686338053,0.590593395,0.554492735,2,2,2,2
Burkina Faso,8006.6,12867.6,285.8,-2.2,12.2,11.13009518,9.052729072,0.756813298,-0.281118652,0.003674188,-6.185531642,1.469761232,1.224668589,0.806514712,0.325747294,0.14682629,-0.274812615,1,1,1.336381153,1.191864695,1.263707548,1.232882392,4,3,4,4
Cambodia,12830.75,4731.75,105,105,12.5,11.76173018,10.72217688,0.303020958,-1.199364511,0.00268106,-6.139296457,1.371630226,1.074702466,0.814143303,0.27875904,0.033595397,-0.236972678,1,1,1.31603054,0.870662294,1.273574136,1.217613895,4,3,4,4
Cameroon,8678.4,579.4,12.8,12.8,5.8,13.13506995,9.535959294,0.987031132,-0.376609503,0.013296051,-4.794844908,3.297102552,2.706242981,1.710972218,0.987997722,0.799972211,0.412021757,1,1,1.623201814,1.158461996,1.560480097,1.401219903,4,3,4,4
Canada,3701.698157,11802.69816,261.5898618,-98.41013825,61.30875576,12.12313278,7.517991596,4.437886477,1.250286505,0.018533979,-5.073886679,2.059641953,1.59416847,0.552696419,0.535183537,0.26706429,-0.71454893,1,1,1.42708799,1.72755022,1.500932583,1.641028163,4,4,4,4
Central African Republic,9033.846154,934.8461538,20.69230769,20.69230769,6.384615385,13.8414165,11.47350353,0.269109683,-1.35584168,0.007197769,-4.971314917,3.574400578,2.977695212,2.032869828,1.252484526,1.069116672,0.694841201,1,1,1.737751048,0.81592658,1.522821397,1.211443156,4,3,4,4
Chad,8944.923077,845.9230769,18.61538462,18.61538462,15.46153846,10.2785858,8.141488523,1.145611913,-0.041720422,0.00409218,-6.097775906,3.083238828,2.609021179,0.661348169,0.853286046,0.680858821,-0.466262181,1,1,1.564858187,1.275606196,1.282434622,1.291652057,4,4,4,4
Chile,4893.380952,12994.38095,289.1904762,-70.80952381,-39.38095238,9.700054891,7.885894036,1.442812835,-0.11913156,0.005481296,-6.023864208,0.838257453,0.638249443,0.456652056,-0.267387062,-0.555630738,-0.905109013,1,1,1.079494664,1.24852778,1.298207378,1.270602002,3,4,4,4
China,12791.22176,4692.221757,103.8535565,103.8535565,36.62343096,3.860368545,12.258681,0.18389224,-2.197350369,0.001204326,-9.237342444,0.332242843,0.252312219,0.148929297,-1.488392423,-1.848636978,-2.228565024,1,1,0.550677242,0.521566841,0.612451122,0.481436714,2,2,2,2
Colombia,4796.136364,12897.13636,286.5454545,-73.45454545,4.181818182,13.67500518,10.08997314,1.584424875,0.006593501,0.01182124,-5.151897858,3.538633349,2.937521688,2.08469913,0.906660146,0.710558479,0.432570266,1,1,1.587974509,1.292506407,1.484284997,1.422676678,4,4,4,4
Congo,8800,701,15.57142857,15.57142857,-0.428571429,15.78798915,10.1737494,1.646736255,0.285297274,0.014935455,-4.383016024,5.273860758,4.383425596,2.621365435,1.54776085,1.365521184,0.899021868,1,1,1.865635224,1.389996986,1.64836438,1.577860012,4,4,4,4
"Congo, DRC",9153.020408,1054.020408,23.44897959,23.44897959,-3.367346939,14.72747455,11.46229454,0.907689799,-0.751344189,0.010420643,-4.799492178,4.239560104,3.529762046,2.210221718,1.270882763,1.086260227,0.676421979,1,1,1.745719324,1.027379803,1.559488369,1.339303751,4,3,4,4
Costa Rica,4369,12470,277,-83,9,14.15452649,9.45513336,0.81838076,-0.200427573,0.013826597,-4.281161258,2.840166206,2.287253197,1.53859442,1.043862574,0.82735162,0.430869285,1,1,1.647396881,1.220090435,1.670100188,1.49702029,4,4,4,4
Cote d'Ivory,7848.333333,15949.33333,354.3333333,-5.666666667,7.666666667,11.58845755,7.604736365,0.928854322,-0.15013926,0.018786681,-4.065222088,2.938839283,2.359117387,1.526721877,1.064186373,0.8462949,0.412735416,1,1,1.656199118,1.237681287,1.716181606,1.533119279,4,4,4,4
Croatia,8887,788,17,17,45,5.4820432,10.91059357,0.154919112,-1.933218767,0.000119425,-9.407670968,0.220894484,0.17055778,0.123993408,-1.582562608,-1.866589038,-2.152557604,1,1,0.509892134,0.613960075,0.576103015,0.506600694,2,2,2,2
Cuba,4555.5,12656.5,281,-79,22,8.347921792,9.080131726,0.701744527,-0.362154332,0.000197628,-8.533357087,1.146766728,0.942229874,0.486879457,0.136635298,-0.059506013,-0.721499351,1,1,1.254476747,1.163518415,0.762681598,0.91965922,4,3,2,3
Cyprus,9602,1503,33,33,35,7.500563704,7.500511264,0.757474199,-0.277765803,0.00032671,-8.026438489,1.604522978,1.302240908,0.288740202,0.472826503,0.264086556,-1.242227949,1,1,1.400081158,1.193037522,0.870858026,1.000006992,4,3,3,3
Czech Republic,8889,790,17,17,49,3.189688982,11.21185041,0.106527738,-2.239349879,2.31E-05,-10.6776844,0.115550292,0.087362737,0.068738819,-2.158049416,-2.43768644,-2.677441195,1,1,0.260648798,0.506875412,0.305082149,0.284492645,2,2,2,2
Denmark,8532,433,9,9,55,-0.586526459,9.355904448,0.05791366,-2.848802006,3.74E-06,-12.49758631,0.059572476,0.041703828,0.03437927,-2.820561616,-3.177162357,-3.370301523,1,1,-0.026285236,0.293689058,-0.083284919,-0.062690514,1,2,1,1
Dominican Republic,4959,13060,290,-70,19,8.780914475,8.733399508,0.491219641,-0.778036974,0.000829995,-7.181839353,0.899067281,0.711452587,0.468867218,-0.180939651,-0.406897962,-0.799169418,1,1,1.116935037,1.018042666,1.051095482,1.011785412,3,3,3,3
Ecuador,4566.5,12667.5,281.5,-78.5,-1,14.69685117,11.93170425,0.632748385,-0.553301914,0.00417629,-5.767118247,1.482000758,1.194406951,0.96023356,0.332803377,0.11266731,-0.097113742,1,1,1.339437143,1.09665499,1.352996966,1.237839347,4,3,4,4
Egypt,9438.318182,1339.318182,29.45454545,29.45454545,26.72727273,5.431078062,7.31857192,0.973895283,-0.477196889,0.000944216,-8.67032005,1.714316579,1.45124075,0.286168946,-0.015774646,-0.206886168,-1.44609229,1,1,1.188468001,1.123276528,0.733453701,0.787770371,3,3,2,2
Eritrea,9832.333333,1733.333333,38.33333333,38.33333333,15.66666667,7.937103705,7.807641341,0.822193539,-0.284408824,0.000514622,-7.844928947,1.501129827,1.28881607,0.371032061,0.236628927,0.085685067,-0.994060121,1,1,1.297783988,1.190713793,0.909592163,1.020499189,4,3,3,3
Estonia,9299,1200,26,26,59,8.946822621,8.565027075,0.660411835,-0.418535008,0.00065442,-7.345815234,0.482332389,0.384359571,0.226503902,-0.732460186,-0.959693595,-1.487479721,1,1,0.878071494,1.143796454,1.016103029,1.045014521,3,3,3,3
Ethiopia,9882.217391,1783.217391,39.52173913,39.52173913,8.47826087,9.233899974,7.815909553,0.653439564,-0.645262994,0.005139854,-5.987960206,1.276746007,1.064624934,0.640606616,0.074354536,-0.099168919,-0.524003986,1,1,1.22750295,1.064487005,1.305869292,1.219822327,4,3,4,4
Finland,9316.733333,1217.733333,26.33333333,26.33333333,64.46666667,10.98723999,7.612913798,1.982706256,0.529413752,0.006850465,-5.46829296,1.125378013,0.888084554,0.384271559,0.001569491,-0.240461917,-1.000183776,1,1,1.195979747,1.47538893,1.416766282,1.457732031,3,4,4,4
France,8218.3125,4169.3125,92.125,2.125,46.375,5.94630437,11.10151731,0.190493027,-1.721617877,0.0001442,-9.403522768,0.226905908,0.181944092,0.130067376,-1.563030896,-1.795024693,-2.114891813,1,1,0.518351319,0.687978067,0.576988241,0.54534904,2,2,2,2
French Guiana,5716.5,13817.5,307,-53,4,14.08787458,7.028422075,3.099685278,1.120426361,0.118197366,-2.157159863,6.857879145,5.325689485,2.668925076,1.90117257,1.646060185,0.967773288,1,1,2.01869784,1.682125141,2.123362085,2.00753026,4,4,4,4
French Southern & Antarctic Lands,11180,3081,69,69,-49,14.09210452,7.1888883,8.079784798,2.089365238,0.021881878,-3.822096478,4.168053379,3.083496413,1.538592624,1.427449111,1.126064152,0.430868118,1,1,1.81352821,2.02105996,1.768064612,1.960261995,4,4,4,4
Gabon,8609.166667,510.1666667,11.33333333,11.33333333,-0.666666667,15.13903149,8.252770894,2.540575704,0.897967945,0.055675925,-3.148973251,6.27391473,5.136848581,2.664731258,1.806693274,1.607916356,0.952834008,1,1,1.977778857,1.604309187,1.911709108,1.843492677,4,4,4,4
Georgia,10011,1912,42,42,43,10.21674818,8.58212398,0.608272586,-0.55200813,0.002835678,-6.03034446,0.898540869,0.728707589,0.430850069,-0.138575906,-0.352567147,-0.847679725,1,1,1.135282775,1.097107556,1.296824492,1.20652916,3,3,4,4
Germany,8602,503,10.6,10.6,51,2.132565174,11.05669191,0.093169712,-2.453374173,2.41E-05,-11.11522514,0.103733666,0.075852033,0.059662918,-2.320723707,-2.659496329,-2.88853327,1,1,0.190194562,0.432009714,0.211710955,0.188419663,2,2,2,2
Ghana,8036.25,16137.25,358.5,-1.5,8.5,12.07724095,9.27732532,0.714192082,-0.36013882,0.004702168,-5.476416737,1.519841476,1.247051132,0.820305345,0.398528179,0.201246651,-0.211611375,1,1,1.367902554,1.164223441,1.415032668,1.308912191,4,3,4,4
Greece,9213.666667,1114.666667,24.33333333,24.33333333,38.33333333,7.291874114,10.7304865,0.295918585,-1.390802595,0.000153524,-8.871120852,0.55895084,0.457899344,0.18825642,-0.769053571,-0.983863805,-1.71097435,1,1,0.862222898,0.803697252,0.69060281,0.681640995,3,3,2,2
Greenland,6321.288462,14422.28846,319.6538462,-40.34615385,74.73076923,11.65857208,7.151167353,3.718820047,1.24963993,0.008380417,-5.205838033,4.106466971,3.044105888,0.279433869,1.312568131,1.006866002,-1.280164497,1,1,1.763773258,1.727324047,1.472774164,1.631051534,4,4,4,4
Guatemala,4012.5,12113.5,269,-91,16,12.55611297,13.35567549,0.293522402,-1.298146642,0.001768394,-6.748850796,1.026045641,0.844581327,0.655657746,-0.083325594,-0.288171172,-0.563472161,1,1,1.159211685,0.836108305,1.14349524,0.977174599,3,3,3,3
Guinea,7632.25,15733.25,349.5,-10.5,10.5,11.71962476,8.769512012,0.435992555,-0.83810272,0.010365442,-4.621601279,1.780847753,1.459284064,1.03232786,0.529862624,0.334670264,-0.007820553,1,1,1.424783502,0.997031669,1.597450287,1.33469456,4,3,4,4
Guinea-Bissau,7430,15531,345,-15,11,11.36665259,7.976580206,0.637558878,-0.450108648,0.012099471,-4.414593577,1.444252748,1.176910164,0.632295072,0.367592059,0.162892499,-0.458399108,1,1,1.354504121,1.132751995,1.641625731,1.425003234,4,3,4,4
Guyana,5447,13548,301,-59,5,19.43522676,10.27263948,2.903108885,0.974923015,0.05976028,-2.899065207,5.528629877,4.323906114,2.627147211,1.666625755,1.420495229,0.947475218,1,1,1.917115615,1.631228071,1.965039485,1.886045679,4,4,4,4
