iteration,ho2_mean_glob,ch3o2_mean_glob,ch3ooh_mean_glob,ho2_mean_land,ch3o2_mean_land,ch3ooh_mean_land
0,100755261.07546033,68016468.2651477,6754534576.5314665,31920891.167057414,15160372.8068753,694827482.0073137
1,101582239.46877457,87116020.2910169,8242157901.148141,39591300.28530288,15942872.026675101,877608199.3990462
2,99517224.77039766,92533802.67764422,8443685786.732276,39693267.017287925,16199355.684327671,898203744.5556192
3,99012030.94859117,93543213.01625755,8451055154.667015,39754097.769539565,16234985.020343931,902464056.5797024
4,98910483.91004172,93627978.92318925,8444238752.459099,39758486.82657868,16242941.801443016,903177077.3865604
5,98908368.29517889,93598562.88534993,8441955968.197349,39759662.55360221,16244366.998262255,903318661.6069827
6,98914912.29764101,93582024.68222393,8441723392.073544,39759818.339869395,16244661.054258829,903345428.5192276
7,98917921.19510624,93577722.55341357,8441845735.156822,39759851.51294431,16244718.405748533,903350781.7785537
8,98918691.01524818,93577293.3984717,8441924323.163586,39759857.12286378,16244730.147426607,903351844.2150667
9,98918779.58549,93577478.28782311,8441949438.960443,39759858.24402948,16244732.524504023,903352059.5776654
10,98918754.11475384,93577598.07640822,8441953958.978063,39759858.45244917,16244733.014695184,903352103.2804935
11,98918735.46742144,93577635.41920115,8441953827.223866,39759858.49359502,16244733.115659276,903352112.2255116
12,98918729.44991484,93577641.6152372,8441953386.438945,39759858.501561746,16244733.136589497,903352114.0599661
13,98918728.41771425,93577641.10106225,8441953206.120577,39759858.503144905,16244733.140926817,903352114.437675
14,98918728.4928418,93577640.32494798,8441953166.220248,39759858.503459394,16244733.141827444,903352114.5156199
15,98918728.61961873,93577640.02496207,8441953164.923061,39759858.5035227,16244733.142014341,903352114.5317314
16,98918728.6699627,93577639.96101291,8441953168.033868,39759858.50353533,16244733.142053181,903352114.5350822
17,98918728.68111739,93577639.95977317,8441953169.561983,39759858.50353807,16244733.142061155,903352114.535779
18,98918728.6815275,93577639.96515068,8441953169.964151,39759858.503538534,16244733.142062973,903352114.5359243
19,98918728.68067658,93577639.96771018,8441953170.003229,39759858.50353876,16244733.142063241,903352114.5359567
20,98918728.68024948,93577639.96837239,8441953169.982916,39759858.50353865,16244733.1420634,903352114.535964
