longitude,latitude,o3prod_mole_stacked,o3loss_mole_stacked
1.0,-89.0,19061.13260150361,23318.424002615833
1.0,-87.0,20117.926237630625,25198.371281241052
1.0,-85.0,21705.349246818874,28332.980533982438
1.0,-83.0,23390.33156186081,31526.637471049387
1.0,-81.0,26192.887834076148,36677.44120550575
1.0,-79.0,28567.283856220893,40895.45856596565
1.0,-77.0,29719.26024806371,43586.07064347826
1.0,-75.0,31054.953309231663,49224.80542667351
1.0,-73.0,35056.710156363704,61925.232119127686
1.0,-71.0,99618.67724877052,82549.97272518779
1.0,-69.0,232156.96967187693,91698.4133970666
1.0,-67.0,149535.00771585593,101114.48814097708
1.0,-65.0,158697.198067006,102358.95236834126
1.0,-63.0,124078.02902431886,103478.06615569266
1.0,-61.0,97738.18872310795,97794.54063507936
1.0,-59.0,81449.98078358515,89137.81962805128
1.0,-57.0,71387.62480293374,80084.47069126718
1.0,-55.0,59223.80076683139,81258.62210127563
1.0,-53.0,44250.5895050932,90087.22859235751
1.0,-51.0,33948.725727953744,101246.319331751
1.0,-49.0,42059.327069329265,120505.7019112463
1.0,-47.0,58459.664681036185,148338.31867311394
1.0,-45.0,60440.53923085612,178463.29253225384
1.0,-43.0,70874.37659456379,217722.33889152436
1.0,-41.0,121914.63450503445,272533.22345141636
1.0,-39.0,233970.0774483315,338653.187719655
1.0,-37.0,632221.0833042569,402442.2865344403
1.0,-35.0,505143.28482731903,470232.19153375516
1.0,-33.0,459941.8220903061,531984.3019967201
1.0,-31.0,427923.070242834,592761.765964814
1.0,-29.0,354390.34304012306,646339.7515263685
1.0,-27.0,476198.3077518904,718433.3490723748
1.0,-25.0,743588.0668340009,793929.2839169836
1.0,-23.0,530640.8626278368,850297.8383858129
1.0,-21.0,434167.3527430535,904083.0248116663
1.0,-19.0,378943.4494401379,976186.6353595227
1.0,-17.0,511068.9396216945,1101557.5733056604
1.0,-15.0,1135734.9585104382,1247296.8624125505
1.0,-13.0,1500227.6707343596,1381106.7773378198
1.0,-11.0,792910.9595146718,1497305.9950098796
1.0,-9.0,413933.3426421873,1534664.5361614237
1.0,-7.0,356340.8093581034,1618191.5987004288
1.0,-5.0,494961.2146808036,1739955.6989189058
1.0,-3.0,654749.4136789938,1832508.2915547194
1.0,-1.0,1309565.018723872,1892187.3791674278
1.0,1.0,2757938.038105911,1950695.0880927623
1.0,3.0,2151407.879640913,2045290.5637873858
1.0,5.0,4288867.420917046,1991622.5869942259
1.0,7.0,9604062.726127671,1738834.7736812318
1.0,9.0,10290860.7975421,1568575.6272925944
1.0,11.0,7094408.6177790295,1481375.7474327933
1.0,13.0,5335081.322193961,1654418.502525389
1.0,15.0,4730328.25113005,1659967.8957398012
1.0,17.0,2270168.5465680864,1585490.6243886792
1.0,19.0,2515799.714927209,1302378.1341251633
1.0,21.0,1820285.2469429036,1212538.9203898301
1.0,23.0,1480247.1943652132,1298832.9178354437
1.0,25.0,1129299.3240979936,1197153.8954467392
1.0,27.0,1510888.8814704006,1143436.1403181083
1.0,29.0,1619129.7609924118,1180119.4099439397
1.0,31.0,1411995.2327227942,1310521.8686313347
1.0,33.0,2984460.0123168156,1013165.4742187321
1.0,35.0,4572365.313957164,805649.899871243
1.0,37.0,4236625.385122979,965380.9442839454
1.0,39.0,3184305.4086164716,1040822.7059258829
