Region,ABBR,longitude,latitude
"Beijing-Tianjin-Hebei Urban Agglomeration, China",BTH,116.4247222,39.905556
"The Greater Bay Area, PRC",GBA,113.264722,23.108888
"Chengdu-Chongqing Economic Circle, PRC",CCE,104.06,30.67
"Yuxi, Yunnan, PRC",YYN,102.543907,24.350461
"Qinghai-Tibet Plateau, PRC",QTP,91.132212,29.660361
"Seoul, Korea",KOR,126.9667,37.55
"Tokyo, Japan",JPN,139.7036319,35.6937632
Congo Basin ,COD,22.5,-2.5
"London, UK",GBR,-0.116667,51.5
"Paris, France",FRA,2.35,48.85
"Berlin, Germany",DEU,13.39889,52.50056
"Helsinki, Finland",FIN,24.933333,60.16667
"Oslo, Norway",NOR,10.75,59.95
"New Delhi, India",IND,77.23333,28.65
"Kuala Lumpur, Malaysia",MYS,101.7,3.15
"New York, NY, USA",NY,-74,40.7125
"Los Angeles, CA, USA",CA,-118.366666,34.083333
"Seattle, WA, USA",WA,-122.033333,47.633333
"Chicago, IL, USA",IL,-87.6828,41.8379
"Toronto, Canada",TO,-79.416666,43.66667
Amazon Rainforest,BRA,-60.016666,-3.116667
"Canberra, Australia",AUS,144.966666,-37.83333
Indomalayan Realm,IDN,106.8456,-6.208764
"Auckland, New Zealand",NZL,174.784,-36.848
