region,beta_adj,beta_adj_ste,ch4__no,ch4__no_ste,ln_beta_adj,ln_ch4__no
AUS,4.555445492080732,0.18535363188414533,5066.7711216863845,544.2553054384477,1.5163233288012632,1.6227037550939245
BRA,15.200450518429466,0.40608733592075047,15616.606012889502,935.6409192332752,2.721325066783353,2.74833483609562
BTH,0.4345797930643953,0.001010374132067559,35.10198719368877,2.8479143804624973,-0.8333757077207485,-3.349497534908089
CA,1.0099876018091933,0.03141256753895355,448.16476417786333,55.76948147224834,0.009938055341382054,-0.8025943369978721
CCE,0.7595358330189345,0.011856488897927316,643.7903196524474,118.89035679265616,-0.27504777831080635,-0.4403821964957012
COD,6.8369033093524685,0.2942310091293802,10816.604769134356,647.0467225058711,1.922334896569327,2.381082432043523
DEU,1.2553357574064041,0.01784304163515929,837.6843666976949,61.127541433941126,0.2274030725844269,-0.17711390016949338
FIN,6.205082775259056,0.20163101261141875,6838.638668066403,743.5025214064348,1.8253687586576899,1.9225886866898376
FRA,2.447504383283004,0.029990437778806153,2478.42700435677,107.14254273080707,0.8950688863435003,0.9076240865042458
GBA,0.6219357500675233,0.010833902132114943,225.42217917265347,33.62525316220788,-0.4749184872897043,-1.4897802830485154
GBR,1.6394595946221244,0.046397981148133406,1485.8030884394927,138.83021495604848,0.4943666720596395,0.39595542637083797
IDN,18.65711731725441,0.6445666513441376,18038.49213456883,925.1552329602613,2.926227698879349,2.892507926582825
IL,2.0747996945732012,0.0394517717266253,1560.5397376620872,132.65803689105917,0.7298646162872706,0.4450317471030272
IND,1.2793641404587832,0.06122417772526569,396.7771000040003,60.32267016970304,0.2463631892362067,-0.9243806169202695
JPN,1.5053946435564398,0.04183051973884694,1732.3962645016456,275.87441615552706,0.40905508545894176,0.5495055740997444
KOR,1.9599023921090017,0.07868462238973903,1551.063166203348,197.14763305864938,0.6728946720579806,0.4389406094794604
MYS,5.368755679349697,0.13722000456070546,7889.797623319815,646.7277111099439,1.6805961646031302,2.06557048475947
NOR,3.4724690495581,0.08974414705449452,3365.4270435326175,399.86084456587224,1.2448658825924146,1.213554862483737
NY,1.6977414995455145,0.05382400655878542,1273.5837782465119,123.8432457925456,0.5292988381051131,0.24183479909730568
NZL,9.224864387862828,0.1346535376345608,12109.776651550048,995.7701574928464,2.221902489315863,2.494013114087741
QTP,3.1733511180744194,0.027908084832800627,6596.573274759863,187.92786545749382,1.1547881645546756,1.8865503134070158
SGP,1.9546344085970324,0.05212095430248263,1439.0661268703452,126.87710629055859,0.6702031726748613,0.36399438019919617
TO,1.8575864371562294,0.07663291180116574,1580.6176007820286,170.50998820672166,0.6192780306623492,0.45781565723352635
VAN,5.175367312989504,0.15784640372982708,7910.468762208122,967.364975143315,1.6439103149880483,2.068187041996855
WA,1.9891799299922157,0.043925116479793365,2017.140055586258,187.9771782833508,0.6877224583204246,0.7016806941351502
YYN,1.2388637872229538,0.031287181779691337,1193.5170574671056,109.89021210321471,0.21419465893025566,0.17690445866538151
