region,aNN,aVV,aNV,aN,aV,Sn,Sn_err,Sv,Sv_err,SnSv,R2net,R2oz
WA,-0.02 ,-0.06 ,0.11 ,0.20 ,1.18 ,0.27 ,0.16 ,1.18 ,0.07 ,0.23 ,0.91 ,0.81 
CA,-0.40 ,-0.09 ,0.14 ,0.27 ,1.95 ,-0.38 ,0.27 ,1.91 ,0.07 ,-0.20 ,0.90 ,0.77 
IL,-0.12 ,-0.26 ,0.71 ,1.14 ,2.58 ,1.61 ,0.61 ,2.77 ,0.10 ,0.58 ,0.92 ,0.80 
NY,0.00 ,-0.01 ,0.02 ,0.03 ,0.90 ,0.04 ,0.23 ,0.91 ,0.09 ,0.05 ,0.91 ,0.81 
TO,-0.07 ,-0.05 ,0.27 ,0.43 ,2.32 ,0.54 ,0.27 ,2.49 ,0.13 ,0.22 ,0.85 ,0.69 
BRA,-0.12 ,-0.19 ,0.39 ,0.68 ,0.45 ,0.83 ,0.05 ,0.47 ,0.10 ,1.78 ,0.97 ,0.81 
GBR,-1.71 ,-0.26 ,0.70 ,1.23 ,2.50 ,-1.50 ,0.11 ,2.67 ,0.11 ,-0.56 ,0.91 ,0.81 
FRA,-0.04 ,-0.11 ,0.20 ,0.37 ,1.02 ,0.48 ,0.08 ,1.00 ,0.03 ,0.48 ,0.84 ,0.69 
NOR,-0.46 ,-0.08 ,0.16 ,0.34 ,0.80 ,-0.43 ,0.54 ,0.79 ,0.11 ,-0.54 ,0.86 ,0.73 
DEU,-1.31 ,-0.19 ,0.51 ,0.87 ,1.76 ,-1.25 ,0.28 ,1.89 ,0.09 ,-0.66 ,0.93 ,0.84 
FIN,-0.03 ,-0.05 ,0.12 ,0.19 ,1.02 ,0.24 ,0.33 ,1.04 ,0.11 ,0.23 ,0.85 ,0.71 
COD,-0.02 ,-0.08 ,0.15 ,0.31 ,0.17 ,0.43 ,0.02 ,0.17 ,0.14 ,2.58 ,0.92 ,0.81 
IND,-0.09 ,-0.18 ,0.35 ,0.52 ,0.60 ,0.69 ,0.03 ,0.59 ,0.05 ,1.17 ,0.87 ,0.71 
QTP,-0.58 ,-0.81 ,1.70 ,2.83 ,1.38 ,3.35 ,0.13 ,1.45 ,0.04 ,2.31 ,0.97 ,0.91 
CCE,-0.08 ,-0.10 ,0.25 ,0.49 ,0.66 ,0.59 ,0.08 ,0.71 ,0.03 ,0.83 ,0.94 ,0.86 
BTH,-2.26 ,-0.38 ,0.75 ,1.36 ,1.25 ,-2.41 ,0.18 ,1.25 ,0.17 ,-1.93 ,0.93 ,0.86 
YYN,-0.10 ,-0.30 ,0.59 ,0.98 ,0.81 ,1.37 ,0.72 ,0.79 ,0.11 ,1.73 ,0.91 ,0.82 
GBA,-0.03 ,-0.04 ,0.09 ,0.17 ,1.01 ,0.21 ,0.10 ,1.03 ,0.06 ,0.21 ,0.97 ,0.91 
KOR,-0.34 ,-0.06 ,0.12 ,0.23 ,0.52 ,-0.33 ,0.24 ,0.53 ,0.08 ,-0.62 ,0.95 ,0.87 
JPN,-0.10 ,-0.01 ,0.04 ,0.07 ,1.67 ,-0.09 ,0.08 ,1.69 ,0.05 ,-0.05 ,0.93 ,0.82 
MYS,-0.13 ,-0.21 ,0.45 ,0.94 ,0.56 ,1.14 ,0.03 ,0.60 ,0.09 ,1.89 ,0.94 ,0.85 
IDN,-0.08 ,-0.13 ,0.27 ,0.47 ,0.29 ,0.58 ,0.03 ,0.28 ,0.07 ,2.05 ,0.85 ,0.70 
AUS,-0.08 ,-0.16 ,0.37 ,0.55 ,0.63 ,0.74 ,0.14 ,0.66 ,0.06 ,1.12 ,0.85 ,0.69 
NZL,-0.14 ,-0.27 ,0.62 ,1.40 ,1.47 ,1.73 ,0.08 ,1.55 ,0.07 ,1.11 ,0.93 ,0.83 
